01/03/2019 05:22:15 PM INFO    : Loading pkl dataset took 0.10107588768005371 seconds.
01/03/2019 05:24:55 PM INFO    : Loading hdf5 dataset took 0.12199544906616211 seconds.
01/07/2019 08:51:42 PM INFO    : Loading svm model took 0.03000020980834961 seconds.
01/07/2019 08:51:48 PM INFO    : Predicting one face using svm model took 0.0010004043579101562 seconds.
01/07/2019 09:06:46 PM INFO    : Loading knn model took 0.15200281143188477 seconds.
01/07/2019 09:06:53 PM INFO    : Predicting one face using knn model took 0.022997379302978516 seconds.
05/10/2019 02:59:10 PM INFO    : Loading pkl dataset took 0.016559123992919922 seconds.
05/10/2019 03:07:12 PM INFO    : Loading pkl dataset took 0.009443998336791992 seconds.
05/10/2019 03:07:22 PM INFO    : Loading svm model took 0.0050411224365234375 seconds.
05/10/2019 03:07:23 PM INFO    : Predicting one face using svm model took 0.0004069805145263672 seconds.
05/10/2019 03:07:23 PM INFO    : Predicting one face using svm model took 0.8493959903717041 seconds.
05/10/2019 03:13:26 PM INFO    : Predicting one face using svm model took 0.0005071163177490234 seconds.
05/10/2019 03:13:27 PM INFO    : Predicting one face using svm model took 0.00020194053649902344 seconds.
05/10/2019 03:13:27 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:13:27 PM INFO    : Predicting one face using svm model took 0.0002028942108154297 seconds.
05/10/2019 03:13:28 PM INFO    : Predicting one face using svm model took 0.00021505355834960938 seconds.
05/10/2019 03:13:28 PM INFO    : Predicting one face using svm model took 0.00023221969604492188 seconds.
05/10/2019 03:13:29 PM INFO    : Predicting one face using svm model took 0.00032019615173339844 seconds.
05/10/2019 03:13:29 PM INFO    : Predicting one face using svm model took 0.00020813941955566406 seconds.
05/10/2019 03:13:29 PM INFO    : Predicting one face using svm model took 0.0007898807525634766 seconds.
05/10/2019 03:13:30 PM INFO    : Predicting one face using svm model took 0.0002510547637939453 seconds.
05/10/2019 03:13:30 PM INFO    : Predicting one face using svm model took 0.0001919269561767578 seconds.
05/10/2019 03:13:30 PM INFO    : Predicting one face using svm model took 0.00026416778564453125 seconds.
05/10/2019 03:13:31 PM INFO    : Predicting one face using svm model took 0.00019502639770507812 seconds.
05/10/2019 03:13:31 PM INFO    : Predicting one face using svm model took 0.00047278404235839844 seconds.
05/10/2019 03:13:32 PM INFO    : Predicting one face using svm model took 0.0002841949462890625 seconds.
05/10/2019 03:13:32 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 03:13:32 PM INFO    : Predicting one face using svm model took 0.0001957416534423828 seconds.
05/10/2019 03:13:33 PM INFO    : Predicting one face using svm model took 0.00019788742065429688 seconds.
05/10/2019 03:13:33 PM INFO    : Predicting one face using svm model took 0.0002040863037109375 seconds.
05/10/2019 03:13:34 PM INFO    : Predicting one face using svm model took 0.00019502639770507812 seconds.
05/10/2019 03:13:34 PM INFO    : Predicting one face using svm model took 0.000209808349609375 seconds.
05/10/2019 03:13:34 PM INFO    : Predicting one face using svm model took 0.00020813941955566406 seconds.
05/10/2019 03:13:35 PM INFO    : Predicting one face using svm model took 0.00019788742065429688 seconds.
05/10/2019 03:13:35 PM INFO    : Predicting one face using svm model took 0.0002529621124267578 seconds.
05/10/2019 03:13:36 PM INFO    : Predicting one face using svm model took 0.0003509521484375 seconds.
05/10/2019 03:13:36 PM INFO    : Predicting one face using svm model took 0.00026488304138183594 seconds.
05/10/2019 03:13:36 PM INFO    : Predicting one face using svm model took 0.00019884109497070312 seconds.
05/10/2019 03:13:37 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:13:37 PM INFO    : Predicting one face using svm model took 0.0001900196075439453 seconds.
05/10/2019 03:13:38 PM INFO    : Predicting one face using svm model took 0.0001888275146484375 seconds.
05/10/2019 03:13:38 PM INFO    : Predicting one face using svm model took 0.0002970695495605469 seconds.
